batch_id,product_name,batch_start_time,labeled_family,labeled_color,batch_size_kg,processing_time_min,flush_needed,flush_time_min,total_time_min
WGC_01201,SikaGrout-214,2024-01-01 06:55:00,coarse_grey,natural,1899,55.6,True,25.2,80.8
WGC_01304,SikaGrout-214,2024-01-01 07:42:00,coarse_grey,natural,1598,57.0,True,17.1,74.1
WGC_00637,SikaTop-152,2024-01-01 07:54:00,fine_dark,black_fine,1865,61.3,True,17.0,78.3
WGC_00213,SikaTop-152,2024-01-01 08:01:00,fine_dark,black_fine,1618,49.1,True,23.3,72.4
WGC_00024,SikaGrout-315,2024-01-01 08:45:00,coarse_white,white_coarse,1189,46.5,True,24.3,70.8
WGC_00383,SikaTop-142,2024-01-01 08:46:00,dark,charcoal,2123,52.8,True,20.5,73.3
WGC_00932,SikaRep-212,2024-01-01 09:59:00,coarse_grey,natural,1743,51.1,True,23.3,74.4
WGC_01288,SikaTop-122,2024-01-01 10:49:00,fine_white,cream,1555,57.5,False,0.0,57.5
WGC_00858,SikaColor-201,2024-01-01 13:12:00,coarse_white,charcoal,1604,48.6,True,10.0,58.6
WGC_01629,SikaGrout-214,2024-01-01 13:13:00,coarse_white,gray,1544,47.1,True,24.8,71.9
WGC_00017,SikaTop-132,2024-01-01 14:32:00,coarse_grey,grey,1161,47.3,True,26.0,73.3
WGC_00446,SikaTop-162,2024-01-01 16:58:00,coarse_white,white,1775,44.9,False,0.0,44.9
WGC_00032,SikaTop-132,2024-01-01 18:16:00,coarse_grey,concrete,1341,51.0,False,0.0,51.0
WGC_01780,SikaTop-151,2024-01-01 18:51:00,fine_dark,dark_fine,1243,47.6,False,0.0,47.6
WGC_00420,SikaTop-122,2024-01-01 18:54:00,fine_white,light,1822,52.4,True,13.5,65.9
WGC_01221,SikaTop-141,2024-01-01 20:55:00,dark,black,1770,55.0,False,0.0,55.0
WGC_00838,SikaTop-152,2024-01-01 22:45:00,fine_dark,black_fine,1723,51.3,True,29.9,81.2
WGC_00664,SikaTop-141,2024-01-01 22:52:00,dark,black,1580,54.0,True,26.6,80.6
WGC_00641,SikaTop-142,2024-01-02 06:43:00,dark,charcoal,1361,49.6,True,13.5,63.1
WGC_01730,SikaRep-221,2024-01-02 08:21:00,fine_dark,fine_black,983,35.2,True,16.2,51.4
WGC_01269,SikaTop-132,2024-01-02 09:24:00,coarse_grey,grey,1651,60.5,True,17.2,77.7
WGC_00817,SikaColor-201,2024-01-02 09:38:00,dark,black,1599,54.1,False,0.0,54.1
WGC_01797,SikaGrout-214,2024-01-02 10:40:00,coarse_grey,charcoal,1538,44.5,False,0.0,44.5
WGC_01565,SikaTop-132,2024-01-02 11:07:00,coarse_grey,natural,1297,42.5,True,25.1,67.6
WGC_00623,SikaRep-221,2024-01-02 12:54:00,fine_dark,dark,1557,51.8,True,20.1,71.9
WGC_00592,SikaTop-142,2024-01-02 13:54:00,dark,black,773,47.1,True,16.9,64.1
WGC_01056,SikaColor-201,2024-01-02 14:57:00,dark,anthracite,1386,50.5,True,16.9,67.4
WGC_00158,SikaTop-121,2024-01-02 17:50:00,fine_white,white,1534,58.1,True,27.0,85.1
WGC_01789,SikaGrout-214,2024-01-02 17:57:00,coarse_grey,grey,1785,55.5,True,12.9,68.4
WGC_01879,SikaTop-152,2024-01-02 19:52:00,fine_dark,fine_black,1795,45.9,False,0.0,45.9
WGC_01237,SikaTop-122,2024-01-02 20:20:00,dark,cream,1681,53.3,True,25.8,79.1
WGC_00672,SikaTop-121,2024-01-02 21:13:00,fine_white,cream,1944,57.5,False,0.0,57.5
WGC_00665,SikaTop-152,2024-01-02 21:48:00,fine_dark,fine_black,1557,55.6,True,20.3,75.9
WGC_01471,SikaTop-141,2024-01-02 21:59:00,dark,black,1182,46.6,False,0.0,46.6
WGC_01316,SikaRep-315,2024-01-02 22:29:00,coarse_white,white,1506,44.2,False,0.0,44.2
WGC_01909,SikaTop-121,2024-01-03 06:58:00,fine_white,off-white,1333,48.4,True,21.4,69.8
WGC_01155,SikaTop-142,2024-01-03 07:59:00,dark,anthracite,1848,51.8,False,0.0,51.8
WGC_00903,SikaTop-141,2024-01-03 08:34:00,dark,dark,946,39.8,False,0.0,39.8
WGC_01329,SikaRep-221,2024-01-03 09:52:00,fine_white,off-white,1079,59.0,True,28.4,87.5
WGC_01927,SikaGrout-315,2024-01-03 10:51:00,coarse_white,coarse_light,1399,42.3,True,17.7,60.0
WGC_00331,SikaTop-132,2024-01-03 12:37:00,fine_dark,concrete,1675,50.0,True,25.9,75.9
WGC_00890,SikaGrout-214,2024-01-03 13:53:00,coarse_grey,natural,1833,63.0,True,26.7,89.7
WGC_01989,SikaTop-152,2024-01-03 15:49:00,fine_white,dark,1633,49.0,True,23.9,72.8
WGC_00724,SikaTop-141,2024-01-03 15:55:00,dark,anthracite,906,47.8,True,21.6,69.4
WGC_01394,SikaColor-201,2024-01-03 15:57:00,dark,dark,1745,50.3,True,12.6,63.0
WGC_00956,SikaTop-141,2024-01-03 16:02:00,dark,anthracite,1416,51.3,True,17.1,68.4
WGC_01198,SikaTop-132,2024-01-03 18:27:00,coarse_grey,concrete,1703,48.2,True,11.0,59.2
WGC_01946,SikaGrout-214,2024-01-03 18:30:00,dark,black_fine,1510,54.1,True,12.3,66.5
WGC_00574,SikaRep-221,2024-01-03 18:43:00,fine_white,dark_fine,1866,56.6,True,12.4,68.9
WGC_01764,SikaTop-162,2024-01-03 19:02:00,coarse_white,white,1093,48.0,True,14.7,62.7
WGC_01544,SikaRep-221,2024-01-03 20:00:00,fine_dark,black_fine,1194,48.0,True,21.6,69.6
WGC_01846,SikaTop-121,2024-01-03 20:35:00,fine_white,cream,1761,57.4,True,12.7,70.1
WGC_01252,SikaGrout-315,2024-01-03 21:17:00,coarse_white,white,1883,55.5,True,16.5,72.1
WGC_01839,SikaTop-141,2024-01-03 21:53:00,dark,black,1359,44.8,True,17.5,62.3
WGC_00322,SikaTop-151,2024-01-03 22:46:00,fine_dark,dark_fine,1391,51.8,True,12.6,64.4
WGC_00953,SikaTop-141,2024-01-04 07:08:00,dark,dark,1204,49.7,True,23.9,73.6
WGC_00986,SikaTop-152,2024-01-04 07:41:00,fine_dark,fine_black,1680,55.1,True,21.0,76.1
WGC_01578,SikaGrout-315,2024-01-04 07:57:00,coarse_white,white_coarse,1346,49.7,False,0.0,49.7
WGC_01509,SikaGrout-212,2024-01-04 09:13:00,coarse_grey,off-white,1600,51.8,True,20.6,72.4
WGC_01802,SikaTop-152,2024-01-04 10:06:00,fine_dark,dark_fine,1474,57.7,True,13.0,70.7
WGC_00529,SikaTop-142,2024-01-04 10:30:00,dark,fine_black,1682,58.4,True,17.6,76.0
WGC_01641,SikaTop-122,2024-01-04 10:45:00,fine_white,light,1381,48.0,True,24.0,72.0
WGC_01130,SikaTop-141,2024-01-04 12:12:00,dark,charcoal,1435,53.6,False,0.0,53.6
WGC_01267,SikaRep-221,2024-01-04 13:04:00,fine_dark,black_fine,1977,57.6,True,17.3,74.9
WGC_00844,SikaTop-121,2024-01-04 13:31:00,fine_white,off-white,1042,45.6,False,0.0,45.6
WGC_01060,SikaGrout-214,2024-01-04 14:15:00,coarse_grey,natural,1072,49.6,True,19.8,69.4
WGC_01995,SikaTop-132,2024-01-04 14:55:00,coarse_grey,grey,1792,52.8,False,0.0,52.8
WGC_01078,SikaRep-212,2024-01-04 15:35:00,coarse_grey,grey,1169,47.8,False,0.0,47.8
WGC_01011,SikaTop-122,2024-01-04 15:43:00,fine_white,anthracite,1701,50.6,True,29.9,80.5
WGC_00211,SikaTop-141,2024-01-04 16:59:00,dark,black,1464,50.2,False,0.0,50.2
WGC_01635,SikaTop-141,2024-01-04 17:54:00,dark,anthracite,1276,44.4,True,18.2,62.6
WGC_01610,SikaRep-212,2024-01-04 18:49:00,coarse_grey,grey,1475,57.3,True,25.9,83.2
WGC_00497,SikaRep-212,2024-01-04 21:18:00,coarse_grey,natural,1652,51.8,False,0.0,51.8
WGC_01404,SikaTop-122,2024-01-05 06:01:00,fine_white,off-white,1608,54.1,True,12.3,66.4
WGC_00001,SikaTop-162,2024-01-05 06:05:00,coarse_white,white_coarse,1694,59.6,True,13.1,72.7
WGC_01044,SikaRep-212,2024-01-05 08:21:00,coarse_grey,grey,1769,49.5,True,29.9,79.5
WGC_01892,SikaColor-201,2024-01-05 10:57:00,coarse_grey,white,1197,36.5,True,17.5,54.1
WGC_01788,SikaTop-122,2024-01-05 10:58:00,fine_white,light,1119,39.9,True,10.1,50.1
WGC_00452,SikaTop-152,2024-01-05 11:38:00,fine_dark,fine_black,1326,48.6,True,22.7,71.2
WGC_01548,SikaGrout-212,2024-01-05 11:43:00,fine_white,off-white,1557,52.1,True,23.5,75.6
WGC_00857,SikaRep-315,2024-01-05 11:45:00,coarse_white,white,1328,39.9,True,10.8,50.7
WGC_01140,SikaRep-315,2024-01-05 12:14:00,coarse_white,coarse_light,1629,53.5,True,19.5,73.0
WGC_01176,SikaRep-212,2024-01-05 12:28:00,coarse_grey,grey,1461,52.5,False,0.0,52.5
WGC_01189,SikaRep-212,2024-01-05 13:59:00,coarse_grey,natural,1522,48.2,True,10.2,58.4
WGC_00702,SikaGrout-212,2024-01-05 15:38:00,coarse_grey,off-white,1918,52.9,True,26.4,79.4
WGC_00814,SikaTop-141,2024-01-05 15:46:00,dark,anthracite,1649,57.2,True,17.8,75.0
WGC_01885,SikaTop-121,2024-01-05 18:11:00,fine_white,off-white,1598,44.0,True,27.4,71.4
WGC_01825,SikaRep-315,2024-01-05 18:52:00,coarse_white,light_coarse,1235,44.7,True,19.2,64.0
WGC_00485,SikaTop-121,2024-01-05 20:03:00,fine_white,off-white,949,47.0,True,17.9,65.0
WGC_00470,SikaTop-152,2024-01-05 22:36:00,fine_dark,fine_black,1570,42.9,True,27.6,70.5
WGC_00413,SikaGrout-315,2024-01-06 06:15:00,dark,coarse_light,1515,46.7,True,28.7,75.4
